service_code,rate_zone_code,from_weight_grams,to_weight_grams,price_minor,additional_step_grams,additional_price_minor,source_sheet,source_cell
DEMO_EXPRESS,23,1001,1501,576810,,,Domestic Standard,J29
DEMO_EXPRESS,22,1001,1501,1267650,,,Domestic Standard,K29
DEMO_EXPRESS,21,1001,1501,1725120,,,Domestic Standard,L29
DEMO_EXPRESS,20,1001,1501,2500020,,,Domestic Standard,M29
DEMO_EXPRESS,23,1501,2001,701730,,,Domestic Standard,J30
DEMO_EXPRESS,22,1501,2001,1416510,,,Domestic Standard,K30
DEMO_EXPRESS,21,1501,2001,1865700,,,Domestic Standard,L30
DEMO_EXPRESS,20,1501,2001,2766240,,,Domestic Standard,M30
DEMO_EXPRESS,23,2001,2501,845820,,,Domestic Standard,J31
DEMO_EXPRESS,22,2001,2501,1568070,,,Domestic Standard,K31
DEMO_EXPRESS,21,2001,2501,2006460,,,Domestic Standard,L31
DEMO_EXPRESS,20,2001,2501,3035250,,,Domestic Standard,M31
DEMO_EXPRESS,23,2501,3001,989730,,,Domestic Standard,J32
DEMO_EXPRESS,22,2501,3001,1724220,,,Domestic Standard,K32
DEMO_EXPRESS,21,2501,3001,2149020,,,Domestic Standard,L32
DEMO_EXPRESS,20,2501,3001,3294270,,,Domestic Standard,M32
DEMO_EXPRESS,23,3001,3501,1127160,,,Domestic Standard,J33
DEMO_EXPRESS,22,3001,3501,1885230,,,Domestic Standard,K33
DEMO_EXPRESS,21,3001,3501,2292390,,,Domestic Standard,L33
DEMO_EXPRESS,20,3001,3501,3556170,,,Domestic Standard,M33
DEMO_EXPRESS,23,3501,4001,1267650,,,Domestic Standard,J34
DEMO_EXPRESS,22,3501,4001,2047230,,,Domestic Standard,K34
DEMO_EXPRESS,21,3501,4001,2438280,,,Domestic Standard,L34
DEMO_EXPRESS,20,3501,4001,3819600,,,Domestic Standard,M34
DEMO_EXPRESS,23,4001,4501,1403190,,,Domestic Standard,J35
DEMO_EXPRESS,22,4001,4501,2195100,,,Domestic Standard,K35
DEMO_EXPRESS,21,4001,4501,2584710,,,Domestic Standard,L35
DEMO_EXPRESS,20,4001,4501,4086450,,,Domestic Standard,M35
DEMO_EXPRESS,23,4501,5001,1540350,,,Domestic Standard,J36
DEMO_EXPRESS,22,4501,5001,2342790,,,Domestic Standard,K36
DEMO_EXPRESS,21,4501,5001,2753280,,,Domestic Standard,L36
DEMO_EXPRESS,20,4501,5001,4388220,,,Domestic Standard,M36
DEMO_EXPRESS,23,5001,5501,1671210,,,Domestic Standard,J37
DEMO_EXPRESS,22,5001,5501,2481660,,,Domestic Standard,K37
DEMO_EXPRESS,21,5001,5501,2889630,,,Domestic Standard,L37
DEMO_EXPRESS,20,5001,5501,4640040,,,Domestic Standard,M37
DEMO_EXPRESS,23,5501,6001,1802970,,,Domestic Standard,J38
DEMO_EXPRESS,22,5501,6001,2621250,,,Domestic Standard,K38
DEMO_EXPRESS,21,5501,6001,3024450,,,Domestic Standard,L38
DEMO_EXPRESS,20,5501,6001,4889790,,,Domestic Standard,M38
DEMO_EXPRESS,23,6001,6501,1933110,,,Domestic Standard,J39
DEMO_EXPRESS,22,6001,6501,2759850,,,Domestic Standard,K39
DEMO_EXPRESS,21,6001,6501,3161340,,,Domestic Standard,L39
DEMO_EXPRESS,20,6001,6501,5141160,,,Domestic Standard,M39
DEMO_EXPRESS,23,6501,7001,2063520,,,Domestic Standard,J40
DEMO_EXPRESS,22,6501,7001,2897370,,,Domestic Standard,K40
DEMO_EXPRESS,21,6501,7001,3298860,,,Domestic Standard,L40
DEMO_EXPRESS,20,6501,7001,5392170,,,Domestic Standard,M40
DEMO_EXPRESS,23,7001,7501,2194020,,,Domestic Standard,J41
DEMO_EXPRESS,22,7001,7501,3036600,,,Domestic Standard,K41
DEMO_EXPRESS,21,7001,7501,3434760,,,Domestic Standard,L41
DEMO_EXPRESS,20,7001,7501,5643630,,,Domestic Standard,M41
